1	MALICE MIZER	http://www.last.fm/music/MALICE+MIZER	http://userserve-ak.last.fm/serve/252/10808.jpg	other
2	Diary of Dreams	http://www.last.fm/music/Diary+of+Dreams	http://userserve-ak.last.fm/serve/252/3052066.jpg	electronic
3	Carpathian Forest	http://www.last.fm/music/Carpathian+Forest	http://userserve-ak.last.fm/serve/252/40222717.jpg	metal
4	Moi dix Mois	http://www.last.fm/music/Moi+dix+Mois	http://userserve-ak.last.fm/serve/252/54697835.png	metal
5	Bella Morte	http://www.last.fm/music/Bella+Morte	http://userserve-ak.last.fm/serve/252/14789013.jpg	other
6	Moonspell	http://www.last.fm/music/Moonspell	http://userserve-ak.last.fm/serve/252/2181591.jpg	metal
7	Marilyn Manson	http://www.last.fm/music/Marilyn+Manson	http://userserve-ak.last.fm/serve/252/2558217.jpg	metal
8	DIR EN GREY	http://www.last.fm/music/DIR+EN+GREY	http://userserve-ak.last.fm/serve/252/46968835.png	rock
9	Combichrist	http://www.last.fm/music/Combichrist	http://userserve-ak.last.fm/serve/252/51273485.jpg	electronic
10	Grendel	http://www.last.fm/music/Grendel	http://userserve-ak.last.fm/serve/252/5872875.jpg	electronic
11	Agonoize	http://www.last.fm/music/Agonoize	http://userserve-ak.last.fm/serve/252/31693309.jpg	electronic
12	Behemoth	http://www.last.fm/music/Behemoth	http://userserve-ak.last.fm/serve/252/54196161.jpg	metal
13	Hocico	http://www.last.fm/music/Hocico	http://userserve-ak.last.fm/serve/252/34892635.jpg	electronic
15	Dimmu Borgir	http://www.last.fm/music/Dimmu+Borgir	http://userserve-ak.last.fm/serve/252/52216127.png	metal
16	London After Midnight	http://www.last.fm/music/London+After+Midnight	http://userserve-ak.last.fm/serve/252/5364091.jpg	electronic
17	Psyclon Nine	http://www.last.fm/music/Psyclon+Nine	http://userserve-ak.last.fm/serve/252/35246025.jpg	other
18	The CrÃ¼xshadows	http://www.last.fm/music/The+Cr%C3%BCxshadows	http://userserve-ak.last.fm/serve/252/10323129.jpg	electronic
19	:wumpscut:	http://www.last.fm/music/%3Awumpscut%3A	http://userserve-ak.last.fm/serve/252/541326.jpg	electronic
20	Limbonic Art	http://www.last.fm/music/Limbonic+Art	http://userserve-ak.last.fm/serve/252/29314111.jpg	metal
21	Artista sconosciuto	http://www.last.fm/music/Artista+sconosciuto	http://userserve-ak.last.fm/serve/252/17969009.png	other
22	xotox	http://www.last.fm/music/xotox	http://userserve-ak.last.fm/serve/252/5297893.jpg	other
23	The Kovenant	http://www.last.fm/music/The+Kovenant	http://userserve-ak.last.fm/serve/252/8058051.jpg	metal
24	Feindflug	http://www.last.fm/music/Feindflug	http://userserve-ak.last.fm/serve/252/17291471.jpg	other
